Pos,Clube,V,E,D,SG,Pts,gol_pro,gol_con,gol_pro_pj,gol_con_pj,aprov,gol_pro/med,gol_con/med,campeão,rebaixou,Liberta
1,São Paulo FC,11,5,3,11,38,32,21,1.6840,1.1050,0.6667,1.2476,0.8187,1,0,1
2,SC Internacional,9,7,3,6,34,27,21,1.4210,1.1050,0.5965,1.0526,0.8187,0,0,1
3,Santos FC,9,5,5,10,32,27,17,1.4210,0.8950,0.5614,1.0526,0.6628,0,0,1
4,Paraná Clube,9,4,6,10,31,35,25,1.8420,1.3160,0.5439,1.3645,0.9747,0,0,1
5,Grêmio FBPA,8,5,6,4,29,30,26,1.5790,1.3680,0.5088,1.1696,1.0136,0,0,1
6,Fluminense FC,8,5,6,0,29,30,30,1.5790,1.5790,0.5088,1.1696,1.1696,0,0,0
7,CR Vasco da Gama,8,5,6,-1,29,26,27,1.3680,1.4210,0.5088,1.0136,1.0526,0,0,1
8,Cruzeiro EC,7,6,6,8,27,29,21,1.5260,1.1050,0.4737,1.1306,0.8187,0,0,0
9,Figueirense FC,7,6,6,4,27,29,25,1.5260,1.3160,0.4737,1.1306,0.9747,0,0,0
10,SE Palmeiras,7,4,8,-3,25,29,32,1.5260,1.6840,0.4386,1.1306,1.2476,0,0,0
11,AD São Caetano,6,7,6,-1,25,23,24,1.2110,1.2630,0.4386,0.8967,0.9357,0,1,0
12,SC Corinthians,7,2,10,-6,23,21,27,1.1050,1.4210,0.4035,0.8187,1.0526,0,0,0
13,EC Juventude,6,5,8,-2,23,20,22,1.0530,1.1580,0.4035,0.7797,0.8577,0,0,0
14,CR Flamengo,6,5,8,-4,23,17,21,0.8950,1.1050,0.4035,0.6628,0.8187,0,0,0
15,Clube Atlético Paranaense,6,4,9,1,22,25,24,1.3160,1.2630,0.3860,0.9747,0.9357,0,0,0
16,AA Ponte Preta,6,4,9,-12,22,27,39,1.4210,2.0530,0.3860,1.0526,1.5205,0,1,0
17,Botafogo FR,4,9,6,-2,21,21,23,1.1050,1.2110,0.3684,0.8187,0.8967,0,0,0
18,Fortaleza EC,4,8,7,-8,20,20,28,1.0530,1.4740,0.3509,0.7797,1.0916,0,1,0
19,Goiás EC,4,6,9,-6,18,21,27,1.1050,1.4210,0.3158,0.8187,1.0526,0,0,0
20,Santa Cruz FC,4,6,9,-9,18,24,33,1.2630,1.7370,0.3158,0.9357,1.2865,0,1,0
1,São Paulo FC,12,4,3,17,40,24,7,1.2630,0.3680,0.7018,0.8939,0.2607,1,0,1
2,Botafogo FR,9,6,4,11,33,38,27,2.0000,1.4210,0.5789,1.4153,1.0056,0,0,0
3,Cruzeiro EC,10,2,7,5,32,41,36,2.1580,1.8950,0.5614,1.5270,1.3408,0,0,1
4,CR Vasco da Gama,9,4,6,11,31,34,23,1.7890,1.2110,0.5439,1.2663,0.8566,0,0,0
5,SE Palmeiras,8,6,5,2,30,25,23,1.3160,1.2110,0.5263,0.9311,0.8566,0,0,0
6,Goiás EC,9,2,8,3,29,28,25,1.4740,1.3160,0.5088,1.0428,0.9311,0,0,0
